fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_preferred,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,morningstar_risk_rating,years_up,years_down,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
CNRRX,"Columbia Global Energy and Natural Resources Fund Institutional 2 Class",Natural Resources,"Columbia",194920000,13.68,2.17,3,2012-11-07,Value,Large,USD,0.93,1.39,0.93,99.07,0,13.35,1.54,0.83,5.12,46712.57,35.69,1.3,0,0,0,0,0,0,61.66,1.36,0,13.68,11.7,0.71,-0.12,13.68,11.7,-3.37,-5.01,7.23,8.01,-2.17,-1.41,4.94,7.52,-18.86,-19.01,12.99,16.61,24.64,26.69,-20.55,-22.16,-11.32,-12.48,14.87,8.75,NaN,NaN,NaN,NaN,NaN,NaN,3,3,3,0.67,0.01,-0.06,0,0.56,0.01,53.81,0.5,60.43,0.56,71.69,0.71,14.88,0.16,17.05,0.19,19.52,0.21,0.46,0,-0.09,0,0.32,0,5.45,0.06,-2.48,-0.02,3.78,0.06
COAVX,"Columbia Overseas Value Fund Class A",Foreign Large Value,"Columbia",1750000000,10.46,1.37,5,2013-02-27,Value,Large,USD,1.23,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.46,8.71,-0.54,-0.4,10.46,8.71,-7.02,-6.27,7.61,5.92,3.08,0.62,9.55,8.08,-16.72,-15.44,29.68,22.08,0.8,3.34,4.1,-3.1,-7.24,-6.32,NaN,20.81,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,0.67,0.01,0.31,0,0.87,0.01,85.56,0.85,87.52,0.89,92.21,0.93,11.48,0.11,11.81,0.12,16.43,0.16,0.58,0,0.25,0,0.61,0.01,6.28,0.05,2.48,-0,9.08,0.08
COCRX,"Columbia Convertible Securities Fund Institutional 2 Class",Convertibles,"Columbia",1110000000,12.02,2.23,4,2012-11-07,Blend,Large,USD,0.81,1.22,2.01,7.34,16.22,12.71,2.3,1.15,8.04,0,10.16,5.26,0,0,0,13.4,38.61,0,0,7.57,25,12.02,10.22,0.35,0.06,12.02,10.22,8.56,5.81,13.95,10.21,7.4,5.89,11.78,11.07,-0.73,-2.11,15.5,12.18,11.58,7.68,-4.26,-3.67,8.85,6.37,24.57,21.66,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,1.12,0.01,0.63,0.01,0.98,0.01,79.2,0.72,82.24,0.79,83.83,0.83,8.35,0.08,9.48,0.09,10.15,0.1,1.45,0.01,0.72,0.01,1.11,0.01,10.43,0.08,5.12,0.04,9.92,0.09
COCVX,"Columbia Overseas Value Fund Class C",Foreign Large Value,"Columbia",1750000000,10.37,0.57,4,2013-02-27,Value,Large,USD,1.98,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.37,8.71,-0.54,-0.4,10.37,8.71,-7.66,-6.27,6.87,5.92,2.35,0.62,8.74,8.08,-17.32,-15.44,28.79,22.08,-0.17,3.34,3.42,-3.1,-7.87,-6.32,NaN,20.81,NaN,NaN,NaN,NaN,NaN,NaN,3,2,3,0.61,0.01,0.25,0,0.81,0.01,85.22,0.85,87.28,0.89,92.12,0.93,11.56,0.11,11.87,0.12,16.44,0.16,0.52,0,0.19,0,0.56,0.01,5.52,0.05,1.67,-0,8.28,0.08
COFRX,"Columbia Contrarian Core Fund Institutional 2 Class",Large Blend,"Columbia",9980000000,14.23,1.16,3,2012-11-07,Blend,Large,USD,0.68,0.94,2.66,97.34,0,17.04,2.64,2.46,11.35,124112.79,3.81,11.26,17.22,0,7.47,13.67,0.97,7.05,5.3,8.3,24.93,14.23,12.94,2.21,1.29,14.23,12.94,6.71,6.9,11.07,11.84,9.75,8.91,15.99,14.54,-8.86,-6.27,21.79,20.44,8.77,10.37,3.15,-1.07,13.08,10.96,35.9,31.5,NaN,NaN,NaN,NaN,NaN,NaN,3,5,1,0.93,0.01,0.83,0.01,1.32,0.01,96.97,0.92,97.1,0.93,96.9,0.94,11.24,0.11,11.51,0.12,13.7,0.13,0.88,0.01,0.8,0.01,1.12,0.01,9.48,0.11,8.82,0.08,14.62,0.14
COFYX,"Columbia Contrarian Core Fund Institutional 3 Class",Large Blend,"Columbia",9980000000,14.22,1.21,3,2012-11-07,Blend,Large,USD,0.63,0.94,2.66,97.34,0,17.04,2.64,2.46,11.35,124112.79,3.81,11.26,17.22,0,7.47,13.67,0.97,7.05,5.3,8.3,24.93,14.22,12.94,2.21,1.29,14.22,12.94,6.76,6.9,11.13,11.84,9.81,8.91,16.03,14.54,-8.81,-6.27,21.89,20.44,8.77,10.37,3.25,-1.07,13.14,10.96,36.04,31.5,NaN,NaN,NaN,NaN,NaN,NaN,3,5,1,0.94,0.01,0.84,0.01,1.32,0.01,96.95,0.92,97.09,0.93,96.9,0.94,11.23,0.11,11.52,0.12,13.7,0.13,0.88,0.01,0.8,0.01,1.12,0.01,9.55,0.11,8.87,0.08,14.65,0.14
COGAX,"Columbia Select Global Growth Fund Class A",World Large Stock,"Columbia",71000000,22.16,0,4,2008-04-29,Growth,Large,USD,1.37,1.11,17.46,82.54,0,27.9,4.08,5.2,21.71,44735.68,0,19.5,13.62,0,4.48,18.62,0,0,2.22,4.96,36.6,22.16,12.27,2.58,1.11,22.16,12.27,-2.46,1.85,11.43,9.96,6.75,5.89,14.42,11.79,-14.7,-9.64,33.66,23.61,-6.09,5.54,1.09,-1.69,3.09,2.79,39.67,25.19,20.28,15.84,-12.28,-7.93,24.2,13.74,5,7,3,1.02,0.01,0.65,0.01,1.25,0.01,65.61,0.73,66.37,0.78,73.46,0.84,16.68,0.11,15.8,0.11,16.83,0.14,0.66,0.01,0.44,0,0.86,0.01,7.95,0.1,5.55,0.06,15.26,0.14
COGCX,"Columbia Select Global Growth Fund Class C",World Large Stock,"Columbia",71000000,21.86,0,3,2008-04-29,Growth,Large,USD,2.12,1.11,17.46,82.54,0,27.9,4.08,5.2,21.71,44735.68,0,19.5,13.62,0,4.48,18.62,0,0,2.22,4.96,36.6,21.86,12.27,2.49,1.11,21.86,12.27,-3.22,1.85,10.59,9.96,5.95,5.89,13.58,11.79,-15.32,-9.64,32.58,23.61,-6.72,5.54,0.33,-1.69,2.33,2.79,38.64,25.19,19.45,15.84,-12.95,-7.93,23.24,13.74,5,7,3,0.96,0.01,0.59,0.01,1.18,0.01,65.74,0.73,66.51,0.78,73.57,0.84,16.64,0.11,15.77,0.11,16.84,0.14,0.61,0.01,0.4,0,0.82,0.01,7.3,0.1,4.81,0.06,14.32,0.14
COGRX,"Columbia Select Global Growth Fund Class R",World Large Stock,"Columbia",71000000,22.03,0,4,2008-04-29,Growth,Large,USD,1.62,1.11,17.46,82.54,0,27.9,4.08,5.2,21.71,44735.68,0,19.5,13.62,0,4.48,18.62,0,0,2.22,4.96,36.6,22.03,12.27,2.51,1.11,22.03,12.27,-2.7,1.85,11.14,9.96,6.48,5.89,14.13,11.79,-14.88,-9.64,33.27,23.61,-6.27,5.54,0.79,-1.69,2.9,2.79,39.28,25.19,20.05,15.84,-12.47,-7.93,23.79,13.74,5,7,3,1,0.01,0.63,0.01,1.23,0.01,65.74,0.73,66.53,0.78,73.43,0.84,16.66,0.11,15.8,0.11,16.82,0.14,0.64,0.01,0.43,0,0.85,0.01,7.72,0.1,5.29,0.06,14.96,0.14
COGZX,"Columbia Select Global Growth Fund Institutional Class",World Large Stock,"Columbia",71000000,22.17,0,4,2008-04-29,Growth,Large,USD,1.12,1.11,17.46,82.54,0,27.9,4.08,5.2,21.71,44735.68,0,19.5,13.62,0,4.48,18.62,0,0,2.22,4.96,36.6,22.17,12.27,2.52,1.11,22.17,12.27,-2.28,1.85,11.7,9.96,7.02,5.89,14.71,11.79,-14.46,-9.64,34,23.61,-5.84,5.54,1.31,-1.69,3.43,2.79,39.94,25.19,20.65,15.84,-12.11,-7.93,24.49,13.74,5,7,3,1.04,0.01,0.67,0.01,1.27,0.01,65.58,0.73,66.51,0.78,73.48,0.84,16.66,0.11,15.8,0.11,16.87,0.14,0.67,0.01,0.46,0,0.88,0.01,8.17,0.1,5.79,0.06,15.54,0.14
COLEX,"Columbia Disciplined Value Fund Advisor Class",Large Value,"Columbia",737580000,9.18,1.79,3,2015-05-31,Value,Large,USD,0.9,1,0.99,99.01,0,13.23,1.97,1,6.75,54671.42,3.71,5.13,21.41,4.75,8.1,15.23,6.38,7.31,9.81,7.65,10.51,9.18,11.29,0.11,0.46,9.18,11.29,1.36,4.48,9.86,10.01,7.55,7.2,14.9,13.68,-9,-8.53,17.99,15.94,14.14,14.81,NaN,-4.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,1,0.84,0.01,0.66,0.01,1.24,0.01,88.44,0.84,92.8,0.86,94.91,0.9,10.96,0.11,11.45,0.11,13.68,0.13,0.8,0.01,0.62,0.01,1.06,0.01,8.9,0.09,6.83,0.07,13.75,0.14
COLVX,"Columbia Disciplined Value Fund Institutional 2 Class",Large Value,"Columbia",737580000,9.32,1.92,3,2015-05-31,Value,Large,USD,0.76,1,0.99,99.01,0,13.23,1.97,1,6.75,54671.42,3.71,5.13,21.41,4.75,8.1,15.23,6.38,7.31,9.81,7.65,10.51,9.32,11.29,0.11,0.46,9.32,11.29,1.59,4.48,10.03,10.01,7.63,7.2,14.94,13.68,-8.9,-8.53,18.12,15.94,14.16,14.81,NaN,-4.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,1,0.85,0.01,0.67,0.01,1.24,0.01,88.51,0.84,92.83,0.86,94.92,0.9,10.93,0.11,11.42,0.11,13.66,0.13,0.81,0.01,0.63,0.01,1.06,0.01,9.11,0.09,6.93,0.07,13.81,0.14
COLYX,"Columbia Disciplined Value Fund Institutional 3 Class",Large Value,"Columbia",737580000,9.43,1.97,3,2015-05-31,Value,Large,USD,0.71,1,0.99,99.01,0,13.23,1.97,1,6.75,54671.42,3.71,5.13,21.41,4.75,8.1,15.23,6.38,7.31,9.81,7.65,10.51,9.43,11.29,0.21,0.46,9.43,11.29,1.66,4.48,10.07,10.01,7.69,7.2,14.97,13.68,-8.92,-8.53,18.27,15.94,14.18,14.81,NaN,-4.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,1,0.85,0.01,0.67,0.01,1.25,0.01,88.75,0.84,92.98,0.86,94.98,0.9,10.96,0.11,11.46,0.11,13.68,0.13,0.81,0.01,0.63,0.01,1.06,0.01,9.11,0.09,6.96,0.07,13.82,0.14
COPLX,"Copley Fund",Large Value,"Copley",97810000,9.11,0,4,1978-08-31,Value,Large,USD,1.14,1,1.77,98.23,0,17.09,2.04,2.08,8.86,56181.56,0,0,12.28,0,3.2,4.54,60.38,7.36,12.24,0,0,9.11,11.29,1.29,0.46,9.11,11.29,12.81,4.48,13.61,10.01,11.46,7.2,11.72,13.68,15.65,-8.53,9.68,15.94,15.55,14.81,-1.98,-4.05,14.24,10.21,18.08,31.21,4.89,14.57,12.96,-0.75,7.04,13.66,2,31,9,1.13,0.01,0.96,0.01,0.96,0.01,35.6,0.84,34.55,0.86,37.46,0.9,12.26,0.11,11.03,0.11,9.45,0.13,1,0.01,0.97,0.01,1.18,0.01,18.13,0.09,18.44,0.07,24.77,0.14
CORRX,"Columbia Contrarian Core Fund Advisor Class",Large Blend,"Columbia",9980000000,14.21,1.07,3,2012-11-07,Blend,Large,USD,0.77,0.94,2.66,97.34,0,17.04,2.64,2.46,11.35,124112.79,3.81,11.26,17.22,0,7.47,13.67,0.97,7.05,5.3,8.3,24.93,14.21,12.94,2.17,1.29,14.21,12.94,6.6,6.9,10.97,11.84,9.62,8.91,15.9,14.54,-8.97,-6.27,21.71,20.44,8.6,10.37,3.06,-1.07,12.92,10.96,35.78,31.5,NaN,NaN,NaN,NaN,NaN,NaN,3,5,1,0.92,0.01,0.82,0.01,1.32,0.01,96.96,0.92,97.11,0.93,96.91,0.94,11.24,0.11,11.51,0.12,13.7,0.13,0.87,0.01,0.79,0.01,1.12,0.01,9.38,0.11,8.68,0.08,14.53,0.14
COSSX,"Columbia Overseas Value Fund Institutional 2 Class",Foreign Large Value,"Columbia",1750000000,10.63,1.76,4,2015-06-30,Value,Large,USD,0.87,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.63,8.71,-0.43,-0.4,10.63,8.71,-6.65,-6.27,8.08,5.92,3.45,0.62,9.87,8.08,-16.44,-15.44,30.22,22.08,1.08,3.34,NaN,-3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,1,0.7,0.01,0.34,0,0.9,0.01,85.87,0.85,87.66,0.89,92.23,0.93,11.52,0.11,11.86,0.12,16.44,0.16,0.62,0,0.28,0,0.63,0.01,6.72,0.05,2.86,-0,9.39,0.08
COSVX,"Columbia Overseas Value Fund Advisor Class",Foreign Large Value,"Columbia",1750000000,10.62,1.65,4,2015-06-30,Value,Large,USD,0.98,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.62,8.71,-0.43,-0.4,10.62,8.71,-6.76,-6.27,7.92,5.92,3.35,0.62,9.81,8.08,-16.52,-15.44,30.05,22.08,0.89,3.34,NaN,-3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,1,0.69,0.01,0.33,0,0.89,0.01,85.48,0.85,87.31,0.89,92.14,0.93,11.57,0.11,11.87,0.12,16.45,0.16,0.6,0,0.27,0,0.62,0.01,6.55,0.05,2.76,-0,9.34,0.08
COSYX,"Columbia Overseas Value Fund Institutional 3 Class",Foreign Large Value,"Columbia",1750000000,10.62,1.8,4,2015-06-30,Value,Large,USD,0.84,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.62,8.71,-0.43,-0.4,10.62,8.71,-6.6,-6.27,8.11,5.92,3.48,0.62,9.89,8.08,-16.38,-15.44,30.24,22.08,1.35,3.34,NaN,-3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,1,0.71,0.01,0.34,0,0.9,0.01,85.38,0.85,87.49,0.89,92.19,0.93,11.51,0.11,11.87,0.12,16.45,0.16,0.62,0,0.28,0,0.63,0.01,6.77,0.05,2.9,-0,9.41,0.08
COSZX,"Columbia Overseas Value Fund Institutional Class",Foreign Large Value,"Columbia",1750000000,10.56,1.63,4,2008-03-30,Value,Large,USD,0.98,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.56,8.71,-0.43,-0.4,10.56,8.71,-6.74,-6.27,7.93,5.92,3.34,0.62,9.81,8.08,-16.47,-15.44,30.06,22.08,0.89,3.34,4.44,-3.1,-7,-6.32,23.22,20.81,17.8,16.21,-10.38,-12.77,4.64,7.48,4,7,3,0.69,0.01,0.33,0,0.89,0.01,85.5,0.85,87.49,0.89,92.18,0.93,11.49,0.11,11.83,0.12,16.44,0.16,0.61,0,0.27,0,0.62,0.01,6.6,0.05,2.75,-0,9.34,0.08
COVAX,"Columbia Small Cap Value Fund II Class A",Small Value,"Columbia",1340000000,13.64,0.05,3,2002-04-30,Value,Small,USD,1.27,1.21,3.34,96.66,0,13.6,1.57,1.13,5.41,2493.64,6.29,9.04,27.98,10.71,2.26,4.74,7.04,0.78,4.07,17.21,9.9,13.64,12.13,-2.98,-3.2,13.64,12.13,-3.8,-2.55,8.27,8.3,4.77,3.94,14.17,14.12,-17.69,-15.46,10.63,8.54,23.39,25.99,-3.14,-6.71,4.31,3.34,39.85,36.22,14.23,16,-2.7,-4.45,25.37,26.17,3,12,4,0.77,0.01,0.49,0,1.24,0.01,68.03,0.6,65.58,0.6,78.29,0.73,16.46,0.16,15.6,0.16,17.92,0.18,0.48,0,0.32,0,0.81,0.01,5.52,0.06,3.52,0.03,10.98,0.11
COVCX,"Columbia Small Cap Value Fund II Class C",Small Value,"Columbia",1340000000,13.36,0,3,2002-04-30,Value,Small,USD,2.02,1.21,3.34,96.66,0,13.6,1.57,1.13,5.41,2493.64,6.29,9.04,27.98,10.71,2.26,4.74,7.04,0.78,4.07,17.21,9.9,13.36,12.13,-3.09,-3.2,13.36,12.13,-4.56,-2.55,7.45,8.3,3.99,3.94,13.32,14.12,-18.28,-15.46,9.83,8.54,22.38,25.99,-3.83,-6.71,3.57,3.34,38.8,36.22,13.37,16,-3.37,-4.45,24.38,26.17,3,12,4,0.71,0.01,0.43,0,1.18,0.01,68.02,0.6,65.68,0.6,78.23,0.73,16.44,0.16,15.57,0.16,17.92,0.18,0.44,0,0.28,0,0.76,0.01,4.87,0.06,2.82,0.03,10.3,0.11
COVRX,"Columbia Convertible Securities Fund Advisor Class",Convertibles,"Columbia",1110000000,11.93,2.16,4,2012-11-07,Blend,Large,USD,0.88,1.22,2.01,7.34,16.22,12.71,2.3,1.15,8.04,0,10.16,5.26,0,0,0,13.4,38.61,0,0,7.57,25,11.93,10.22,0.34,0.06,11.93,10.22,8.47,5.81,13.85,10.21,7.3,5.89,11.71,11.07,-0.74,-2.11,15.39,12.18,11.52,7.68,-4.36,-3.67,8.7,6.37,24.46,21.66,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,1.12,0.01,0.63,0.01,0.97,0.01,79.23,0.72,82.2,0.79,83.86,0.83,8.32,0.08,9.46,0.09,10.14,0.1,1.45,0.01,0.71,0.01,1.1,0.01,10.37,0.08,5.05,0.04,9.86,0.09
COVUX,"Columbia Overseas Value Fund Class R",Foreign Large Value,"Columbia",1750000000,10.47,1.14,4,2016-02-29,Value,Large,USD,1.48,1.11,18.49,81.51,0,11.18,1.07,0.79,4.32,17549.66,4,8.12,26.51,3.22,8.75,11.95,3.35,4.82,12.64,7.88,8.77,10.47,8.71,-0.55,-0.4,10.47,8.71,-7.25,-6.27,7.38,5.92,2.82,0.62,9.26,8.08,-16.95,-15.44,29.34,22.08,NaN,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1,1,0.65,0.01,0.29,0,0.85,0.01,85.48,0.85,87.42,0.89,92.17,0.93,11.55,0.11,11.86,0.12,16.44,0.16,0.56,0,0.22,0,0.59,0.01,6.02,0.05,2.18,-0,8.79,0.08
CPAYX,"Columbia Pacific/Asia Fund Institutional 3 Class",Diversified Pacific/Asia,"Columbia",159690000,12.64,0.66,4,2017-02-28,Growth,Large,USD,1.06,1.15,17.91,82.09,0,15.29,1.86,1.89,8.14,35721.69,5.22,9.43,24.46,7.08,8.18,9.38,2.34,2.3,0.86,7.93,22.82,12.64,10.06,3.05,0.93,12.64,10.06,-6.41,-6.73,10.76,9.19,7.61,5.65,11.39,10.93,-16.48,-15.63,NaN,30.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,0.92,0.01,0.68,0.01,1,0.01,67.36,0.71,73.26,0.74,83.09,0.8,12.31,0.12,12.57,0.13,15.03,0.15,0.79,0.01,0.58,0,0.76,0.01,9.91,0.09,7.6,0.05,12.58,0.13
CPFRX,"Columbia Disciplined Small Core Fund Institutional 3 Class",Small Blend,"Columbia",101610000,14,0,1,2012-11-07,Blend,Small,USD,0.91,1.15,1.14,98.86,0,13.63,1.83,0.77,4.06,1670.11,5.07,13.52,16.1,8.56,2.64,15.91,3.47,0.59,3.37,15.36,15.41,14,13.34,-3.05,-2.31,14,13.34,-4.74,-0.03,6.53,10.17,1.46,5.62,12.53,14.67,-17.59,-12.72,6.65,12.28,16.8,20.78,-7.12,-5.38,0.08,3.79,36.5,37.39,NaN,NaN,NaN,NaN,NaN,NaN,3,4,2,0.64,0.01,0.23,0.01,1.12,0.01,68.74,0.68,65.39,0.65,74.92,0.76,16.36,0.16,16.06,0.15,18,0.17,0.39,0.01,0.12,0,0.72,0.01,4.14,0.08,0.57,0.04,9.83,0.12
CPGRX,"Columbia Mid Cap Growth Fund Advisor Class",Mid-Cap Growth,"Columbia",1690000000,18.56,0,3,2012-11-07,Growth,Medium,USD,0.92,1.19,2.2,97.8,0,23.44,4.56,3.04,16.79,12730.32,3.49,22.86,5.93,2.94,1.16,16.87,0,1.09,2.72,17.55,25.38,18.56,18.19,2.38,0.92,18.56,18.19,11.12,8.04,12.85,14.18,9.55,8.99,15.53,15.7,-5.17,-6.65,22.93,23.91,2.11,6.03,5.27,-0.95,7.23,7,31.02,34.93,NaN,NaN,NaN,NaN,NaN,NaN,3,5,1,1.08,0.01,0.84,0.01,1.31,0.01,87.53,0.81,84.59,0.78,86.09,0.82,12.99,0.14,13.18,0.14,15.39,0.16,0.9,0.01,0.7,0.01,0.99,0.01,10.23,0.11,8.08,0.07,13.4,0.14
CPHPX,"Columbia Small/Mid Cap Value Fund Institutional 3 Class",Small Value,"Columbia",691930000,16.43,0.67,3,2013-06-12,Blend,Medium,USD,0.85,1.21,2.64,97.36,0,14.5,1.76,1.22,5.64,4507.65,5.75,11.35,19.54,15.59,3.65,6.08,6.89,0.82,4.76,16.64,8.92,16.43,12.13,-0.55,-3.2,16.43,12.13,-1.71,-2.55,8.94,8.3,4.75,3.94,13.89,14.12,-16.5,-15.46,13.17,8.54,17.66,25.99,-5.99,-6.71,6.99,3.34,NaN,36.22,NaN,NaN,NaN,NaN,NaN,NaN,2,3,2,0.81,0.01,0.48,0,1.2,0.01,77.28,0.6,76.27,0.6,84.44,0.73,14.88,0.16,14.66,0.16,16.36,0.18,0.56,0,0.34,0,0.85,0.01,6.28,0.06,3.45,0.03,11.34,0.11
CPXRX,"Columbia Mid Cap Index Fund Institutional 2 Class",Mid-Cap Blend,"Columbia",4130000000,14.49,1.22,4,2012-11-07,Blend,Medium,USD,0.2,1.06,1.49,98.52,0,16.42,1.92,1.17,8.5,5013.59,5.81,14.29,16.02,9.88,3.44,8.94,4.02,0.59,4.45,15.56,17.01,14.49,13.94,-0.57,-0.22,14.49,13.94,2.42,2.33,11,9.67,8.06,6.34,16.04,14.51,-11.35,-11.15,16,15.93,20.46,14.14,-2.34,-4.75,9.51,7.8,33.35,34.1,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,0.95,0.01,0.72,0.01,1.34,0.01,84.06,0.81,80.92,0.8,86.26,0.85,13.58,0.13,13.36,0.13,15.4,0.15,0.74,0.01,0.59,0,1.02,0.01,8.37,0.08,6.75,0.05,13.83,0.13
CQURX,"Columbia Disciplined Growth Fund Institutional 2 Class",Large Growth,"Columbia",459810000,13.97,0.17,4,2012-11-07,Growth,Large,USD,0.86,1.06,1.31,98.69,0,18.31,5.31,2.04,11.17,107060.58,1.92,16.75,11.76,1.89,5.89,13.53,0.05,0.05,0.62,9.82,37.73,13.97,15.67,1.42,2.12,13.97,15.67,9.66,10.71,14.93,15.35,13.16,11.26,17.05,15.94,-3.68,-2.09,29.61,27.67,5.44,3.23,7.28,3.6,16.37,10,35.69,33.92,NaN,NaN,NaN,NaN,NaN,NaN,3,5,1,1.23,0.01,1.1,0.01,1.4,0.01,89.3,0.84,91.46,0.86,94.35,0.88,12.03,0.13,12.27,0.13,13.67,0.14,1.11,0.01,1.01,0.01,1.19,0.01,12.88,0.13,11.78,0.1,15.87,0.15
CRARX,"Voya Real Estate Fund Class I",Real Estate,"Voya",383200000,16.97,2.54,3,1996-12-30,Blend,Medium,USD,0.85,1.22,0,100,0,38.88,2.02,6.47,14.44,10522.37,0,1.02,0,98.98,0,0,0,0,0,0,0,16.97,16.14,3.67,3.49,16.97,16.14,16.83,17.08,3.94,6,7.48,8.29,17.53,17.24,-7.94,-5.97,5.12,6.22,4.26,6.89,3.11,2.41,29.77,28.03,2.09,1.55,15.61,17.6,9.76,7.51,27.83,27.08,3,17,5,0.39,0.01,0.69,0.01,1.49,0.01,31.14,0.3,25.57,0.28,44.85,0.46,13.37,0.13,14.36,0.14,18.77,0.18,0.26,0,0.52,0.01,0.93,0.01,3.57,0.07,10.18,0.12,18.91,0.19
CRBRX,"Columbia Acorn Fund Institutional 2 Class",Mid-Cap Growth,"Columbia",4320000000,16.57,0,3,2012-11-07,Growth,Medium,USD,0.84,1.19,2.97,97.03,0,20.2,3.69,1.67,10.89,4892.84,2.52,20.66,8.9,4.1,4.61,15.76,0,1.11,1.6,15.03,25.72,16.57,18.19,-0.43,0.92,16.57,18.19,6.85,8.04,16.32,14.18,8.74,8.99,15.82,15.7,-5,-6.65,25.21,23.91,10.43,6.03,-1.6,-0.95,0.89,7,30.94,34.93,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,1.36,0.01,0.79,0.01,1.34,0.01,83.75,0.81,77.52,0.78,83.83,0.82,14.98,0.14,14.93,0.14,16.47,0.16,1,0.01,0.58,0.01,0.95,0.01,11.77,0.11,6.76,0.07,12.94,0.14
CRBYX,"Columbia Acorn Fund Institutional 3 Class",Mid-Cap Growth,"Columbia",4320000000,16.63,0,3,2012-11-07,Growth,Medium,USD,0.79,1.19,2.97,97.03,0,20.2,3.69,1.67,10.89,4892.84,2.52,20.66,8.9,4.1,4.61,15.76,0,1.11,1.6,15.03,25.72,16.63,18.19,-0.43,0.92,16.63,18.19,6.9,8.04,16.4,14.18,8.8,8.99,15.85,15.7,-4.98,-6.65,25.31,23.91,10.5,6.03,-1.54,-0.95,0.94,7,30.99,34.93,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,1.37,0.01,0.8,0.01,1.35,0.01,83.82,0.81,77.54,0.78,83.84,0.82,14.99,0.14,14.94,0.14,16.47,0.16,1.01,0.01,0.59,0.01,0.95,0.01,11.82,0.11,6.81,0.07,12.96,0.14
